Step_Range	Rg_squared_ring1	Rg_squared_ring2
0-500	6.544141198248067	7.092071200857232
500-1000	6.49287688013078	6.979917268256697
1000-1500	6.438638414279428	6.690605241440556
1500-2000	6.339633471891821	6.5063715866324685
2000-2500	6.576518217842936	6.487266192781858
2500-3000	6.561972490887042	6.3295220624219475
3000-3500	6.2594262774697444	6.432155025012609
3500-4000	6.201288827979852	6.355758560051923
4000-4500	6.34163822923982	6.221975856450708
4500-5000	6.314701510006666	6.0674150304823815
5000-5500	6.118033996049535	6.042118257976853
5500-6000	6.165200370090018	5.9629205632793925
6000-6500	5.974459588302128	6.142667522163871
6500-7000	6.22960609181054	6.1558526167290015
7000-7500	6.150416859139443	6.138332061860305
7500-8000	6.157583559144486	6.123192437485384
8000-8500	6.159614895415872	5.900207783343469
8500-9000	6.101813310875417	5.776967692609375
9000-9500	6.106984109651137	5.71296227567929
9500-10000	6.1786692254892195	5.67212910022196
10000-10500	6.312445103917856	5.643638980611566
10500-11000	6.242586024041682	5.605211369332373
11000-11500	6.060707641930466	5.631361838827994
11500-12000	6.018764862337174	5.82295899133611
12000-12500	6.044176125706323	5.722385666359122
12500-13000	5.883019848860604	5.589827776363167
13000-13500	5.775164791638948	5.579187966969396
13500-14000	5.864609721464523	5.552327717753036
14000-14500	5.903361060512437	5.655908345901084
14500-15000	5.864335348460985	5.542500537718906
15000-15500	6.022988043085872	5.533665255303647
15500-16000	5.920172917643866	5.3290858116828606
16000-16500	5.641913618331781	5.525129288451884
16500-17000	5.669117650850463	5.414917811011337
17000-17500	5.786458347942249	5.208841109180215
17500-18000	5.894647158666482	5.209629770304698
18000-18500	5.909230005185417	5.2079550747784
18500-19000	6.021291753389866	5.325672873618046
19000-19500	6.00983564781223	5.274926475080827
19500-20000	6.0127079029399475	5.118539410756272
20000-20500	5.907944988301338	5.205250907313603
20500-21000	5.728530181710857	5.235358652665463
21000-21500	5.520015607664586	5.203993526472106
21500-22000	5.453242647133317	5.043734105850815
22000-22500	5.346300956133133	5.077553086669163
22500-23000	5.173356219989522	4.975732979623775
23000-23500	5.2606226276488	4.972604819729827
23500-24000	5.237995859614415	5.014493637603723
24000-24500	5.233965999389989	5.138812737582368
24500-25000	5.263251717436363	4.907516038961877
25000-25500	5.250962579462506	4.862800404804972
25500-26000	5.145096585377969	4.716475480353989
26000-26500	5.163286666348507	4.68569808640127
26500-27000	5.092555485989758	4.766395588133233
27000-27500	5.094929612325673	4.733646457914472
27500-28000	5.11340681414805	4.870656800640427
28000-28500	5.074288342533495	4.794173531849669
28500-29000	5.20172233771998	4.870318351305455
29000-29500	5.128083003210964	4.873120655199275
29500-30000	5.325632512228127	4.596948013920645
30000-30500	5.331255843005904	4.609323747087636
30500-31000	5.38179994437305	4.703642122830885
31000-31500	5.423178604515204	4.737584490415555
31500-32000	5.4471833155034	4.665521923743272
32000-32500	5.496013103665894	4.741667809252528
32500-33000	5.505980265171553	4.717149464865702
33000-33500	5.756190821553417	4.54243814792498
33500-34000	5.719631770175434	4.593337686769599
34000-34500	5.687428663272799	4.623949041455189
34500-35000	5.731256019563196	4.734088011221694
35000-35500	5.753477746890445	4.568856825238251
35500-36000	5.706405700265561	4.5091974899971845
36000-36500	5.723879773962678	4.556521231149296
36500-37000	5.500055303014577	4.448309163906174
37000-37500	5.461923319392764	4.469808065954759
37500-38000	5.331438197822007	4.46334851110997
38000-38500	5.325827406048981	4.569765961934098
38500-39000	5.417829637653607	4.483040285771205
39000-39500	5.4747876722537185	4.5212492842878405
39500-40000	5.358537752052828	4.458454261397085
40000-40500	5.348319048094568	4.363429365827228
40500-41000	5.378090933605038	4.469356958679478
41000-41500	5.405854746362633	4.422085690300435
41500-42000	5.5156665560453195	4.48836035285243
42000-42500	5.605236259298154	4.602156335021819
42500-43000	5.608933420290669	4.604703534620606
43000-43500	5.562718409920237	4.623256499383208
43500-44000	5.711890696056899	4.711192858711632
44000-44500	5.693695695631838	4.758730794523977
44500-45000	5.739302040342112	4.815272600790439
45000-45500	5.798676988494755	4.776114999859438
45500-46000	5.920541496891832	4.796746078756259
46000-46500	5.919225724480592	4.9195971812363695
46500-47000	6.029180028023779	4.95785916242885
47000-47500	6.024894527067719	5.060879367890485
47500-48000	5.899521177370084	4.943899346837705
48000-48500	5.857448411630518	4.970734079775446
48500-49000	5.793809358376901	5.028198736121302
49000-49500	5.611670327019513	5.174267508914182
